District,Grade,Year,Demographic Category,Demographic Variable,# Total Days,# Days Absent,# Days Present,% Attendance,# Contributing 20+ Total Days,# Chronically Absent,% Chronically Absent
29,5,2015-16,SWD Status,SWD,74844,5052,69792,93.2,434,95,21.9
29,5,2016-17,SWD Status,Not SWD,368536,20316,348220,94.5,2194,347,15.8
29,5,2016-17,SWD Status,SWD,75078,4906,70172,93.5,442,98,22.2
29,5,2017-18,SWD Status,Not SWD,382692,23379,359313,93.9,2246,419,18.7
29,5,2017-18,SWD Status,SWD,82539,6075,76464,92.6,481,116,24.1
29,5,2018-19,SWD Status,Not SWD,343709,21453,322256,93.8,1998,371,18.6
29,5,2018-19,SWD Status,SWD,81347,6323,75024,92.2,473,137,29.0
29,6,2013-14,SWD Status,Not SWD,327123,18520,308603,94.3,1896,281,14.8
29,6,2013-14,SWD Status,SWD,69477,5183,64294,92.5,406,100,24.6
29,6,2014-15,SWD Status,Not SWD,325299,17398,307901,94.7,1879,300,16.0
29,6,2014-15,SWD Status,SWD,74418,5633,68785,92.4,422,114,27.0
29,6,2015-16,SWD Status,Not SWD,321955,15516,306439,95.2,1903,242,12.7
29,6,2015-16,SWD Status,SWD,80084,5749,74335,92.8,468,114,24.4
29,6,2016-17,SWD Status,Not SWD,319670,18561,301109,94.2,1896,304,16.0
29,6,2016-17,SWD Status,SWD,73087,5630,67457,92.3,435,113,26.0
29,6,2017-18,SWD Status,Not SWD,333518,20839,312679,93.8,1970,334,17.0
29,6,2017-18,SWD Status,SWD,73601,5387,68214,92.7,431,104,24.1
29,6,2018-19,SWD Status,Not SWD,336574,19946,316628,94.1,1977,344,17.4
29,6,2018-19,SWD Status,SWD,79005,5564,73441,93.0,463,107,23.1
29,7,2013-14,SWD Status,Not SWD,358930,21458,337472,94.0,2086,362,17.4
29,7,2013-14,SWD Status,SWD,67502,6970,60532,89.7,393,131,33.3
29,7,2014-15,SWD Status,Not SWD,335486,18675,316811,94.4,1921,300,15.6
29,7,2014-15,SWD Status,SWD,69704,6603,63101,90.5,399,122,30.6
29,7,2015-16,SWD Status,Not SWD,328243,15920,312323,95.1,1926,278,14.4
29,7,2015-16,SWD Status,SWD,72296,5808,66488,92.0,428,125,29.2
29,7,2016-17,SWD Status,Not SWD,327054,18500,308554,94.3,1951,316,16.2
29,7,2016-17,SWD Status,SWD,71842,5380,66462,92.5,431,112,26.0
29,7,2017-18,SWD Status,Not SWD,323250,20595,302655,93.6,1909,391,20.5
29,7,2017-18,SWD Status,SWD,70236,6128,64108,91.3,411,126,30.7
29,7,2018-19,SWD Status,Not SWD,333357,20804,312553,93.8,1945,369,19.0
29,7,2018-19,SWD Status,SWD,72448,5303,67145,92.7,423,89,21.0
29,8,2013-14,SWD Status,Not SWD,378702,27691,351011,92.7,2172,478,22.0
29,8,2013-14,SWD Status,SWD,63680,6622,57058,89.6,365,117,32.1
29,8,2014-15,SWD Status,Not SWD,370244,24491,345753,93.4,2096,391,18.7
29,8,2014-15,SWD Status,SWD,64662,6742,57920,89.6,367,121,33.0
29,8,2015-16,SWD Status,Not SWD,337612,20110,317502,94.0,1979,345,17.4
29,8,2015-16,SWD Status,SWD,61740,5640,56100,90.9,361,104,28.8
29,8,2016-17,SWD Status,Not SWD,336759,22684,314075,93.3,2009,411,20.5
29,8,2016-17,SWD Status,SWD,69537,6371,63166,90.8,416,133,32.0
29,8,2017-18,SWD Status,Not SWD,336628,24729,311899,92.7,1969,441,22.4
29,8,2017-18,SWD Status,SWD,66089,5407,60682,91.8,390,117,30.0
29,8,2018-19,SWD Status,Not SWD,330604,24136,306468,92.7,1925,437,22.7
29,8,2018-19,SWD Status,SWD,66974,6631,60343,90.1,389,129,33.2
29,9,2013-14,SWD Status,Not SWD,151570,17762,133808,88.3,998,322,32.3
29,9,2013-14,SWD Status,SWD,37157,6734,30423,81.9,243,117,48.1
29,9,2014-15,SWD Status,Not SWD,184178,17341,166837,90.6,1171,311,26.6
29,9,2014-15,SWD Status,SWD,37945,6007,31938,84.2,250,109,43.6
29,9,2015-16,SWD Status,Not SWD,162920,17380,145540,89.3,1087,322,29.6
29,9,2015-16,SWD Status,SWD,35554,7121,28433,80.0,240,119,49.6
29,9,2016-17,SWD Status,Not SWD,148252,14576,133676,90.2,1001,280,28.0
29,9,2016-17,SWD Status,SWD,31733,6578,25155,79.3,219,114,52.1
29,9,2017-18,SWD Status,Not SWD,142150,14763,127387,89.6,969,284,29.3
29,9,2017-18,SWD Status,SWD,31889,5919,25970,81.4,221,107,48.4
29,9,2018-19,SWD Status,Not SWD,150598,17432,133166,88.4,997,327,32.8
29,9,2018-19,SWD Status,SWD,32670,6922,25748,78.8,220,100,45.5
29,10,2013-14,SWD Status,Not SWD,147173,16775,130398,88.6,942,314,33.3
29,10,2013-14,SWD Status,SWD,29317,5602,23715,80.9,193,103,53.4
29,10,2014-15,SWD Status,Not SWD,144843,13860,130983,90.4,908,254,28.0
29,10,2014-15,SWD Status,SWD,30399,5333,25066,82.5,191,89,46.6
29,10,2015-16,SWD Status,Not SWD,167451,17130,150321,89.8,1102,314,28.5
29,10,2015-16,SWD Status,SWD,32328,5470,26858,83.1,206,93,45.1
29,10,2016-17,SWD Status,Not SWD,161111,18497,142614,88.5,1053,340,32.3
29,10,2016-17,SWD Status,SWD,33315,7429,25886,77.7,222,118,53.2
29,10,2017-18,SWD Status,Not SWD,157187,19025,138162,87.9,1039,359,34.6
29,10,2017-18,SWD Status,SWD,29723,6162,23561,79.3,200,110,55.0
29,10,2018-19,SWD Status,Not SWD,148236,17573,130663,88.1,950,320,33.7
29,10,2018-19,SWD Status,SWD,29165,6554,22611,77.5,195,105,53.8
29,11,2013-14,SWD Status,Not SWD,134340,13511,120829,89.9,842,249,29.6
29,11,2013-14,SWD Status,SWD,19370,3757,15613,80.6,122,48,39.3
29,11,2014-15,SWD Status,Not SWD,138864,13638,125226,90.2,863,245,28.4
29,11,2014-15,SWD Status,SWD,23098,3384,19714,85.3,147,59,40.1
29,11,2015-16,SWD Status,Not SWD,136157,13891,122266,89.8,861,233,27.1
29,11,2015-16,SWD Status,SWD,23195,3461,19734,85.1,146,66,45.2
29,11,2016-17,SWD Status,Not SWD,159382,16185,143197,89.8,1026,306,29.8
29,11,2016-17,SWD Status,SWD,24750,4084,20666,83.5,159,62,39.0
29,11,2017-18,SWD Status,Not SWD,148225,16797,131428,88.7,955,329,34.5
29,11,2017-18,SWD Status,SWD,22215,4269,17946,80.8,149,79,53.0
29,11,2018-19,SWD Status,Not SWD,141166,16647,124519,88.2,890,316,35.5
29,11,2018-19,SWD Status,SWD,22634,3788,18846,83.3,143,70,49.0
29,12,2013-14,SWD Status,Not SWD,121087,20103,100984,83.4,759,346,45.6
29,12,2013-14,SWD Status,SWD,15729,3144,12585,80.0,99,56,56.6
29,12,2014-15,SWD Status,Not SWD,133518,17419,116099,87.0,826,284,34.4
29,12,2014-15,SWD Status,SWD,18643,3504,15139,81.2,115,51,44.3
29,12,2015-16,SWD Status,Not SWD,137518,19974,117544,85.5,864,333,38.5
29,12,2015-16,SWD Status,SWD,17947,3707,14240,79.3,116,64,55.2
29,12,2016-17,SWD Status,Not SWD,139809,24685,115124,82.3,896,405,45.2
29,12,2016-17,SWD Status,SWD,20404,5289,15115,74.1,130,81,62.3
29,12,2017-18,SWD Status,Not SWD,162217,26370,135847,83.7,1020,504,49.4
29,12,2017-18,SWD Status,SWD,24563,5855,18708,76.2,160,90,56.3
29,12,2018-19,SWD Status,Not SWD,151788,25763,126025,83.0,949,512,54.0
29,12,2018-19,SWD Status,SWD,21680,4464,17216,79.4,138,76,55.1
30,All Grades,2013-14,SWD Status,Not SWD,5792744,381762,5410982,93.4,34284,5962,17.4
30,All Grades,2013-14,SWD Status,SWD,969189,93983,875206,90.3,5681,1569,27.6
30,All Grades,2014-15,SWD Status,Not SWD,5831420,344871,5486549,94.1,33965,5226,15.4
30,All Grades,2014-15,SWD Status,SWD,988102,88294,899808,91.1,5736,1458,25.4
30,All Grades,2015-16,SWD Status,Not SWD,5636338,325467,5310871,94.2,33514,5063,15.1
30,All Grades,2015-16,SWD Status,SWD,996326,81380,914946,91.8,5896,1451,24.6
30,All Grades,2016-17,SWD Status,Not SWD,5584065,330762,5253303,94.1,33610,5325,15.8
30,All Grades,2016-17,SWD Status,SWD,991033,84138,906895,91.5,5919,1555,26.3
30,All Grades,2017-18,SWD Status,Not SWD,5568005,341912,5226093,93.9,33146,5549,16.7
30,All Grades,2017-18,SWD Status,SWD,1011581,91147,920434,91.0,5987,1676,28.0
30,All Grades,2018-19,SWD Status,Not SWD,5497393,338023,5159370,93.9,32593,5648,17.3
30,All Grades,2018-19,SWD Status,SWD,1029866,89892,939974,91.3,6123,1651,27.0
30,0K,2013-14,SWD Status,Not SWD,488005,34469,453536,92.9,2859,663,23.2
30,0K,2013-14,SWD Status,SWD,71760,6107,65653,91.5,416,126,30.3
30,0K,2014-15,SWD Status,Not SWD,513177,33875,479302,93.4,2975,640,21.5
30,0K,2014-15,SWD Status,SWD,73436,5655,67781,92.3,415,95,22.9
30,0K,2015-16,SWD Status,Not SWD,478828,32748,446080,93.2,2833,643,22.7
30,0K,2015-16,SWD Status,SWD,84571,6500,78071,92.3,492,133,27.0
30,0K,2016-17,SWD Status,Not SWD,459941,31977,427964,93.0,2754,638,23.2
30,0K,2016-17,SWD Status,SWD,71679,5830,65849,91.9,427,129,30.2
30,0K,2017-18,SWD Status,Not SWD,442165,30204,411961,93.2,2616,580,22.2
30,0K,2017-18,SWD Status,SWD,76443,6133,70310,92.0,450,125,27.8
30,0K,2018-19,SWD Status,Not SWD,439169,31214,407955,92.9,2604,623,23.9
30,0K,2018-19,SWD Status,SWD,75186,5781,69405,92.3,447,134,30.0
30,1,2013-14,SWD Status,Not SWD,520752,29007,491745,94.4,3025,455,15.0
30,1,2013-14,SWD Status,SWD,88321,5922,82399,93.3,507,103,20.3
30,1,2014-15,SWD Status,Not SWD,502578,28039,474539,94.4,2870,422,14.7
30,1,2014-15,SWD Status,SWD,82139,5748,76391,93.0,466,101,21.7
30,1,2015-16,SWD Status,Not SWD,488694,25696,462998,94.7,2853,407,14.3
30,1,2015-16,SWD Status,SWD,85232,5954,79278,93.0,498,123,24.7
30,1,2016-17,SWD Status,Not SWD,463563,27144,436419,94.1,2758,456,16.5
30,1,2016-17,SWD Status,SWD,88961,6014,82947,93.2,522,125,23.9
30,1,2017-18,SWD Status,Not SWD,447446,25835,421611,94.2,2628,442,16.8
30,1,2017-18,SWD Status,SWD,81233,5943,75290,92.7,475,115,24.2
30,1,2018-19,SWD Status,Not SWD,424814,24914,399900,94.1,2501,443,17.7
30,1,2018-19,SWD Status,SWD,84953,6310,78643,92.6,498,124,24.9
30,2,2013-14,SWD Status,Not SWD,486001,25261,460740,94.8,2819,379,13.4
30,2,2013-14,SWD Status,SWD,89159,6258,82901,93.0,511,117,22.9
30,2,2014-15,SWD Status,Not SWD,516197,23779,492418,95.4,2947,316,10.7
30,2,2014-15,SWD Status,SWD,89301,5308,83993,94.1,510,91,17.8
30,2,2015-16,SWD Status,Not SWD,462691,21862,440829,95.3,2690,317,11.8
30,2,2015-16,SWD Status,SWD,87471,5423,82048,93.8,508,101,19.9
30,2,2016-17,SWD Status,Not SWD,459670,23139,436531,95.0,2708,342,12.6
30,2,2016-17,SWD Status,SWD,84610,5984,78626,92.9,503,124,24.7
30,2,2017-18,SWD Status,Not SWD,446731,23556,423175,94.7,2600,336,12.9
30,2,2017-18,SWD Status,SWD,95391,6577,88814,93.1,557,142,25.5
30,2,2018-19,SWD Status,Not SWD,424736,22276,402460,94.8,2474,358,14.5
30,2,2018-19,SWD Status,SWD,87432,5723,81709,93.5,512,107,20.9
30,3,2013-14,SWD Status,Not SWD,462164,20824,441340,95.5,2675,283,10.6
30,3,2013-14,SWD Status,SWD,89786,6256,83530,93.0,519,121,23.3
30,3,2014-15,SWD Status,Not SWD,471801,19901,451900,95.8,2689,261,9.7
30,3,2014-15,SWD Status,SWD,96401,5732,90669,94.1,545,103,18.9
30,3,2015-16,SWD Status,Not SWD,483362,19678,463684,95.9,2802,255,9.1
30,3,2015-16,SWD Status,SWD,92834,5557,87277,94.0,535,110,20.6
30,3,2016-17,SWD Status,Not SWD,442637,21008,421629,95.3,2600,317,12.2
30,3,2016-17,SWD Status,SWD,89061,5637,83424,93.7,520,106,20.4
30,3,2017-18,SWD Status,Not SWD,439066,20324,418742,95.4,2567,290,11.3
30,3,2017-18,SWD Status,SWD,90755,6361,84394,93.0,529,123,23.3
30,3,2018-19,SWD Status,Not SWD,427753,20607,407146,95.2,2496,310,12.4
30,3,2018-19,SWD Status,SWD,95836,6074,89762,93.7,561,107,19.1
30,4,2013-14,SWD Status,Not SWD,432310,19815,412495,95.4,2498,262,10.5
30,4,2013-14,SWD Status,SWD,88580,5723,82857,93.5,513,105,20.5
30,4,2014-15,SWD Status,Not SWD,462690,18056,444634,96.1,2619,215,8.2
30,4,2014-15,SWD Status,SWD,93083,5721,87362,93.9,528,100,18.9
30,4,2015-16,SWD Status,Not SWD,443949,17521,426428,96.1,2576,220,8.5
30,4,2015-16,SWD Status,SWD,95034,5602,89432,94.1,553,103,18.6
30,4,2016-17,SWD Status,Not SWD,465472,20025,445447,95.7,2747,271,9.9
30,4,2016-17,SWD Status,SWD,90610,5383,85227,94.1,529,108,20.4
30,4,2017-18,SWD Status,Not SWD,436629,19849,416780,95.5,2539,299,11.8
30,4,2017-18,SWD Status,SWD,90296,5904,84392,93.5,521,110,21.1
30,4,2018-19,SWD Status,Not SWD,428537,18671,409866,95.6,2493,244,9.8
30,4,2018-19,SWD Status,SWD,93536,6245,87291,93.3,544,115,21.1
30,5,2013-14,SWD Status,Not SWD,467033,20599,446434,95.6,2678,265,9.9
30,5,2013-14,SWD Status,SWD,95357,6389,88968,93.3,545,113,20.7
30,5,2014-15,SWD Status,Not SWD,438097,17248,420849,96.1,2476,191,7.7
30,5,2014-15,SWD Status,SWD,89467,5112,84355,94.3,507,83,16.4
30,5,2015-16,SWD Status,Not SWD,456655,17226,439429,96.2,2631,235,8.9
30,5,2015-16,SWD Status,SWD,87803,5065,82738,94.2,506,87,17.2
30,5,2016-17,SWD Status,Not SWD,440742,17935,422807,95.9,2579,236,9.2
30,5,2016-17,SWD Status,SWD,93034,5784,87250,93.8,540,111,20.6
30,5,2017-18,SWD Status,Not SWD,467360,19990,447370,95.7,2689,274,10.2
30,5,2017-18,SWD Status,SWD,90223,5753,84470,93.6,518,103,19.9
30,5,2018-19,SWD Status,Not SWD,436464,19137,417327,95.6,2522,306,12.1
30,5,2018-19,SWD Status,SWD,91503,5696,85807,93.8,530,106,20.0
30,6,2013-14,SWD Status,Not SWD,512811,21877,490934,95.7,2945,275,9.3
30,6,2013-14,SWD Status,SWD,97503,6342,91161,93.5,558,105,18.8
30,6,2014-15,SWD Status,Not SWD,524624,19828,504796,96.2,2965,242,8.2
30,6,2014-15,SWD Status,SWD,101495,5510,95985,94.6,576,98,17.0
30,6,2015-16,SWD Status,Not SWD,477551,17621,459930,96.3,2767,212,7.7
30,6,2015-16,SWD Status,SWD,96116,5384,90732,94.4,556,88,15.8
30,6,2016-17,SWD Status,Not SWD,507067,19676,487391,96.1,2958,241,8.1
30,6,2016-17,SWD Status,SWD,96944,6350,90594,93.4,564,109,19.3
30,6,2017-18,SWD Status,Not SWD,496117,20837,475280,95.8,2869,283,9.9
30,6,2017-18,SWD Status,SWD,97910,6679,91231,93.2,564,129,22.9
30,6,2018-19,SWD Status,Not SWD,513328,21161,492167,95.9,2961,292,9.9
30,6,2018-19,SWD Status,SWD,95954,6777,89177,92.9,557,128,23.0
30,7,2013-14,SWD Status,Not SWD,498113,22290,475823,95.5,2861,304,10.6
30,7,2013-14,SWD Status,SWD,84664,6649,78015,92.1,479,116,24.2
30,7,2014-15,SWD Status,Not SWD,494934,18920,476014,96.2,2804,232,8.3
30,7,2014-15,SWD Status,SWD,89057,6172,82885,93.1,506,106,20.9
30,7,2015-16,SWD Status,Not SWD,501523,19876,481647,96.0,2897,275,9.5
30,7,2015-16,SWD Status,SWD,90436,5474,84962,93.9,522,100,19.2
30,7,2016-17,SWD Status,Not SWD,457005,18648,438357,95.9,2659,255,9.6
30,7,2016-17,SWD Status,SWD,89381,6108,83273,93.2,519,107,20.6
30,7,2017-18,SWD Status,Not SWD,488039,20060,467979,95.9,2809,274,9.8
30,7,2017-18,SWD Status,SWD,87848,6265,81583,92.9,510,116,22.7
30,7,2018-19,SWD Status,Not SWD,471905,19388,452517,95.9,2725,284,10.4
30,7,2018-19,SWD Status,SWD,88399,6210,82189,93.0,511,122,23.9
30,8,2013-14,SWD Status,Not SWD,511446,28824,482622,94.4,2915,390,13.4
30,8,2013-14,SWD Status,SWD,79609,7154,72455,91.0,450,108,24.0
30,8,2014-15,SWD Status,Not SWD,504938,25129,479809,95.0,2843,345,12.1
30,8,2014-15,SWD Status,SWD,82988,7150,75838,91.4,472,124,26.3
30,8,2015-16,SWD Status,Not SWD,484354,24931,459423,94.9,2781,372,13.4
30,8,2015-16,SWD Status,SWD,81315,6611,74704,91.9,468,117,25.0
30,8,2016-17,SWD Status,Not SWD,502372,24756,477616,95.1,2918,347,11.9
30,8,2016-17,SWD Status,SWD,83041,6140,76901,92.6,485,117,24.1
30,8,2017-18,SWD Status,Not SWD,472766,24650,448116,94.8,2715,363,13.4
30,8,2017-18,SWD Status,SWD,81958,6508,75450,92.1,470,119,25.3
30,8,2018-19,SWD Status,Not SWD,495322,27224,468098,94.5,2842,441,15.5
30,8,2018-19,SWD Status,SWD,81538,6375,75163,92.2,469,122,26.0
30,9,2013-14,SWD Status,Not SWD,377365,43314,334051,88.5,2423,653,27.0
30,9,2013-14,SWD Status,SWD,69845,15817,54028,77.4,451,232,51.4
30,9,2014-15,SWD Status,Not SWD,393432,42475,350957,89.2,2495,648,26.0
30,9,2014-15,SWD Status,SWD,76834,17809,59025,76.8,492,253,51.4
30,9,2015-16,SWD Status,Not SWD,376522,41376,335146,89.0,2448,641,26.2
30,9,2015-16,SWD Status,SWD,77460,15568,61892,79.9,506,230,45.5
30,9,2016-17,SWD Status,Not SWD,400891,38301,362590,90.4,2625,634,24.2
30,9,2016-17,SWD Status,SWD,78361,13978,64383,82.2,513,211,41.1
30,9,2017-18,SWD Status,Not SWD,396681,38979,357702,90.2,2546,627,24.6
30,9,2017-18,SWD Status,SWD,81712,15789,65923,80.7,524,237,45.2
30,9,2018-19,SWD Status,Not SWD,378093,37368,340725,90.1,2389,580,24.3
30,9,2018-19,SWD Status,SWD,90268,15693,74575,82.6,577,240,41.6
30,10,2013-14,SWD Status,Not SWD,378265,44552,333713,88.2,2473,740,29.9
30,10,2013-14,SWD Status,SWD,51270,10021,41249,80.5,327,137,41.9
30,10,2014-15,SWD Status,Not SWD,394128,37331,356797,90.5,2495,612,24.5
30,10,2014-15,SWD Status,SWD,53153,9742,43411,81.7,343,153,44.6
30,10,2015-16,SWD Status,Not SWD,373197,32878,340319,91.2,2425,550,22.7
30,10,2015-16,SWD Status,SWD,54569,6998,47571,87.2,347,128,36.9
30,10,2016-17,SWD Status,Not SWD,363570,31649,331921,91.3,2397,559,23.3
30,10,2016-17,SWD Status,SWD,55410,8308,47102,85.0,360,151,41.9
30,10,2017-18,SWD Status,Not SWD,391920,36989,354931,90.6,2528,654,25.9
30,10,2017-18,SWD Status,SWD,58972,8308,50664,85.9,375,148,39.5
30,10,2018-19,SWD Status,Not SWD,380765,34470,346295,90.9,2421,611,25.2
30,10,2018-19,SWD Status,SWD,59023,7594,51429,87.1,375,134,35.7
30,11,2013-14,SWD Status,Not SWD,309673,28466,281207,90.8,1922,484,25.2
30,11,2013-14,SWD Status,SWD,32076,5418,26658,83.1,203,87,42.9
30,11,2014-15,SWD Status,Not SWD,291375,22838,268537,92.2,1777,376,21.2
30,11,2014-15,SWD Status,SWD,31298,3504,27794,88.8,190,56,29.5
30,11,2015-16,SWD Status,Not SWD,311684,20916,290768,93.3,1934,325,16.8
30,11,2015-16,SWD Status,SWD,32985,2988,29997,90.9,207,57,27.5
30,11,2016-17,SWD Status,Not SWD,303159,21549,281610,92.9,1897,346,18.2
30,11,2016-17,SWD Status,SWD,39717,4232,35485,89.3,247,82,33.2
30,11,2017-18,SWD Status,Not SWD,314510,24212,290298,92.3,1971,411,20.9
30,11,2017-18,SWD Status,SWD,40733,5217,35516,87.2,255,97,38.0
30,11,2018-19,SWD Status,Not SWD,332596,23348,309248,93.0,2044,398,19.5
30,11,2018-19,SWD Status,SWD,44948,5065,39883,88.7,281,91,32.4
30,12,2013-14,SWD Status,Not SWD,348806,42464,306342,87.8,2191,809,36.9
30,12,2013-14,SWD Status,SWD,31259,5927,25332,81.0,202,99,49.0
30,12,2014-15,SWD Status,Not SWD,323449,37452,285997,88.4,2010,726,36.1
30,12,2014-15,SWD Status,SWD,29450,5131,24319,82.6,186,95,51.1
30,12,2015-16,SWD Status,Not SWD,297328,33138,264190,88.9,1877,611,32.6
30,12,2015-16,SWD Status,SWD,30500,4256,26244,86.0,198,74,37.4
30,12,2016-17,SWD Status,Not SWD,317976,34955,283021,89.0,2010,683,34.0
30,12,2016-17,SWD Status,SWD,30224,4390,25834,85.5,190,75,39.5
30,12,2017-18,SWD Status,Not SWD,328575,36427,292148,88.9,2069,716,34.6
30,12,2017-18,SWD Status,SWD,38107,5710,32397,85.0,239,112,46.9
30,12,2018-19,SWD Status,Not SWD,343911,38245,305666,88.9,2121,758,35.7
30,12,2018-19,SWD Status,SWD,41290,6349,34941,84.6,261,121,46.4
31,All Grades,2013-14,SWD Status,Not SWD,7881966,582036,7299930,92.6,46383,9620,20.7
31,All Grades,2013-14,SWD Status,SWD,2245944,235815,2010129,89.5,13231,4499,34.0
31,All Grades,2014-15,SWD Status,Not SWD,7910318,527311,7383007,93.3,45927,8450,18.4
31,All Grades,2014-15,SWD Status,SWD,2348385,230535,2117850,90.2,13660,4200,30.7
31,All Grades,2015-16,SWD Status,Not SWD,7746216,529366,7216850,93.2,45780,8530,18.6
31,All Grades,2015-16,SWD Status,SWD,2362107,226926,2135181,90.4,13959,4271,30.6
31,All Grades,2016-17,SWD Status,Not SWD,7629271,542355,7086916,92.9,45656,9127,20.0
31,All Grades,2016-17,SWD Status,SWD,2407952,245353,2162599,89.8,14362,4742,33.0
31,All Grades,2017-18,SWD Status,Not SWD,7626378,550834,7075544,92.8,45196,9356,20.7
31,All Grades,2017-18,SWD Status,SWD,2473306,264322,2208984,89.3,14640,5122,35.0
31,All Grades,2018-19,SWD Status,Not SWD,7575696,509696,7066000,93.3,44552,8547,19.2
31,All Grades,2018-19,SWD Status,SWD,2501654,257189,2244465,89.7,14730,4884,33.2
31,0K,2013-14,SWD Status,Not SWD,672890,53410,619480,92.1,3897,1012,26.0
31,0K,2013-14,SWD Status,SWD,164814,15064,149750,90.9,952,317,33.3
31,0K,2014-15,SWD Status,Not SWD,652862,48174,604688,92.6,3744,864,23.1
31,0K,2014-15,SWD Status,SWD,184018,15360,168658,91.7,1047,315,30.1
31,0K,2015-16,SWD Status,Not SWD,634034,47500,586534,92.5,3710,948,25.6
31,0K,2015-16,SWD Status,SWD,172038,13699,158339,92.0,996,276,27.7
31,0K,2016-17,SWD Status,Not SWD,612449,46727,565722,92.4,3617,916,25.3
31,0K,2016-17,SWD Status,SWD,186512,16282,170230,91.3,1091,334,30.6
31,0K,2017-18,SWD Status,Not SWD,592860,45813,547047,92.3,3474,915,26.3
31,0K,2017-18,SWD Status,SWD,193770,17384,176386,91.0,1129,386,34.2
31,0K,2018-19,SWD Status,Not SWD,567843,43204,524639,92.4,3306,838,25.3
31,0K,2018-19,SWD Status,SWD,192651,16398,176253,91.5,1119,362,32.4
31,1,2013-14,SWD Status,Not SWD,651683,45639,606044,93.0,3779,793,21.0
31,1,2013-14,SWD Status,SWD,210677,17142,193535,91.9,1207,328,27.2
31,1,2014-15,SWD Status,Not SWD,673510,41912,631598,93.8,3844,685,17.8
31,1,2014-15,SWD Status,SWD,199213,15548,183665,92.2,1126,306,27.2
31,1,2015-16,SWD Status,Not SWD,623208,38006,585202,93.9,3624,653,18.0
31,1,2015-16,SWD Status,SWD,214734,16417,198317,92.4,1245,328,26.3
31,1,2016-17,SWD Status,Not SWD,608217,40304,567913,93.4,3584,716,20.0
31,1,2016-17,SWD Status,SWD,215180,17254,197926,92.0,1260,340,27.0
31,1,2017-18,SWD Status,Not SWD,605476,40997,564479,93.2,3514,733,20.9
31,1,2017-18,SWD Status,SWD,213239,18269,194970,91.4,1239,387,31.2
31,1,2018-19,SWD Status,Not SWD,583807,36442,547365,93.8,3379,620,18.3
31,1,2018-19,SWD Status,SWD,222141,18352,203789,91.7,1284,396,30.8
31,2,2013-14,SWD Status,Not SWD,633751,41253,592498,93.5,3628,633,17.4
31,2,2013-14,SWD Status,SWD,199432,16212,183220,91.9,1144,331,28.9
31,2,2014-15,SWD Status,Not SWD,630573,35840,594733,94.3,3565,538,15.1
31,2,2014-15,SWD Status,SWD,223018,16443,206575,92.6,1266,294,23.2
31,2,2015-16,SWD Status,Not SWD,631535,34332,597203,94.6,3651,540,14.8
31,2,2015-16,SWD Status,SWD,214633,15375,199258,92.8,1240,310,25.0
31,2,2016-17,SWD Status,Not SWD,602271,34577,567694,94.3,3515,532,15.1
31,2,2016-17,SWD Status,SWD,221737,17503,204234,92.1,1294,340,26.3
31,2,2017-18,SWD Status,Not SWD,595565,37668,557897,93.7,3447,663,19.2
31,2,2017-18,SWD Status,SWD,234198,19615,214583,91.6,1355,410,30.3
31,2,2018-19,SWD Status,Not SWD,594316,35079,559237,94.1,3425,590,17.2
31,2,2018-19,SWD Status,SWD,218577,17105,201472,92.2,1260,338,26.8
31,3,2013-14,SWD Status,Not SWD,588376,34033,554343,94.2,3374,493,14.6
31,3,2013-14,SWD Status,SWD,218239,16676,201563,92.4,1250,312,25.0
31,3,2014-15,SWD Status,Not SWD,621314,32585,588729,94.8,3508,456,13.0
31,3,2014-15,SWD Status,SWD,217653,15779,201874,92.8,1234,286,23.2
31,3,2015-16,SWD Status,Not SWD,604714,30684,574030,94.9,3489,477,13.7
31,3,2015-16,SWD Status,SWD,230638,16192,214446,93.0,1334,321,24.1
31,3,2016-17,SWD Status,Not SWD,606357,32423,573934,94.7,3557,527,14.8
31,3,2016-17,SWD Status,SWD,221253,16386,204867,92.6,1289,331,25.7
31,3,2017-18,SWD Status,Not SWD,592474,34661,557813,94.1,3431,568,16.6
31,3,2017-18,SWD Status,SWD,226967,18417,208550,91.9,1313,387,29.5
31,3,2018-19,SWD Status,Not SWD,577698,31877,545821,94.5,3339,517,15.5
31,3,2018-19,SWD Status,SWD,235562,18678,216884,92.1,1369,390,28.5
31,4,2013-14,SWD Status,Not SWD,597972,34965,563007,94.2,3406,538,15.8
31,4,2013-14,SWD Status,SWD,212356,17164,195192,91.9,1218,358,29.4
31,4,2014-15,SWD Status,Not SWD,583358,28841,554517,95.1,3286,400,12.2
31,4,2014-15,SWD Status,SWD,228835,15354,213481,93.3,1300,276,21.2
31,4,2015-16,SWD Status,Not SWD,602888,30628,572260,94.9,3470,459,13.2
31,4,2015-16,SWD Status,SWD,222937,15187,207750,93.2,1290,304,23.6
31,4,2016-17,SWD Status,Not SWD,593035,31530,561505,94.7,3457,503,14.6
31,4,2016-17,SWD Status,SWD,234330,17569,216761,92.5,1362,341,25.0
31,4,2017-18,SWD Status,Not SWD,601392,34062,567330,94.3,3485,581,16.7
31,4,2017-18,SWD Status,SWD,229305,18304,211001,92.0,1320,370,28.0
31,4,2018-19,SWD Status,Not SWD,588906,31011,557895,94.7,3383,497,14.7
31,4,2018-19,SWD Status,SWD,222928,17084,205844,92.3,1282,356,27.8
